run_id,criterion_id,stratum,selection_probability,seed,sampling_script,condition,audit_id
run-184,T07-R03,T07|grok|task_first,0.3125,60132,scripts/sample_audits.py,task_first,GA-0067
run-021,T01-R02,T01|sol|world_first,0.125,60132,scripts/sample_audits.py,world_first,GA-0068
run-060,T03-R06,T03|grok|world_first,0.1388888888888889,60132,scripts/sample_audits.py,world_first,GA-0069
run-014,T01-R10,T01|grok|task_first,0.125,60132,scripts/sample_audits.py,task_first,GA-0070
run-022,T01-R03,T01|sol|task_first,0.125,60132,scripts/sample_audits.py,task_first,GA-0071
run-121,T06-R08,T06|opus5|world_first,0.17857142857142858,60132,scripts/sample_audits.py,world_first,GA-0072
run-064,T03-R04,T03|grok|task_first,0.1388888888888889,60132,scripts/sample_audits.py,task_first,GA-0073
run-060,T03-R02,T03|grok|world_first,0.1388888888888889,60132,scripts/sample_audits.py,world_first,GA-0074
run-180,T07-R05,T07|grok|world_first,0.3125,60132,scripts/sample_audits.py,world_first,GA-0075
run-036,T02-R05,T02|grok|world_first,0.125,60132,scripts/sample_audits.py,world_first,GA-0076
run-162,T08-R02,T08|sol|task_first,0.3125,60132,scripts/sample_audits.py,task_first,GA-0077
run-046,T02-R10,T02|sol|world_first,0.125,60132,scripts/sample_audits.py,world_first,GA-0078
run-057,T03-R06,T03|grok|task_first,0.1388888888888889,60132,scripts/sample_audits.py,task_first,GA-0079
run-112,T05-R09,T05|grok|task_first,0.1388888888888889,60132,scripts/sample_audits.py,task_first,GA-0080
run-168,T08-R02,T08|sol|task_first,0.3125,60132,scripts/sample_audits.py,task_first,GA-0081
run-039,T02-R05,T02|grok|world_first,0.125,60132,scripts/sample_audits.py,world_first,GA-0082
run-113,T05-R07,T05|sol|world_first,0.1388888888888889,60132,scripts/sample_audits.py,world_first,GA-0083
run-135,T06-R01,T06|grok|world_first,0.17857142857142858,60132,scripts/sample_audits.py,world_first,GA-0084
run-073,T04-R14,T04|opus5|task_first,0.08928571428571429,60132,scripts/sample_audits.py,task_first,GA-0085
run-106,T05-R08,T05|grok|world_first,0.1388888888888889,60132,scripts/sample_audits.py,world_first,GA-0086
run-085,T04-R13,T04|grok|world_first,0.08928571428571429,60132,scripts/sample_audits.py,world_first,GA-0087
run-074,T04-R13,T04|opus5|world_first,0.08928571428571429,60132,scripts/sample_audits.py,world_first,GA-0088
run-169,T07-R05,T07|opus5|task_first,0.3125,60132,scripts/sample_audits.py,task_first,GA-0089
run-164,T08-R02,T08|sol|world_first,0.3125,60132,scripts/sample_audits.py,world_first,GA-0090
run-143,T06-R01,T06|sol|world_first,0.17857142857142858,60132,scripts/sample_audits.py,world_first,GA-0091
run-091,T04-R14,T04|sol|task_first,0.08928571428571429,60132,scripts/sample_audits.py,task_first,GA-0092
run-031,T02-R02,T02|opus5|task_first,0.125,60132,scripts/sample_audits.py,task_first,GA-0093
run-105,T05-R03,T05|grok|task_first,0.1388888888888889,60132,scripts/sample_audits.py,task_first,GA-0094
run-065,T03-R02,T03|sol|world_first,0.1388888888888889,60132,scripts/sample_audits.py,world_first,GA-0095
run-182,T07-R04,T07|grok|world_first,0.3125,60132,scripts/sample_audits.py,world_first,GA-0096
run-192,T07-R04,T07|sol|task_first,0.3125,60132,scripts/sample_audits.py,task_first,GA-0097
run-157,T08-R03,T08|grok|world_first,0.3125,60132,scripts/sample_audits.py,world_first,GA-0098
run-036,T02-R02,T02|grok|world_first,0.125,60132,scripts/sample_audits.py,world_first,GA-0099
run-045,T02-R02,T02|sol|world_first,0.125,60132,scripts/sample_audits.py,world_first,GA-0100
run-052,T03-R05,T03|opus5|task_first,0.1388888888888889,60132,scripts/sample_audits.py,task_first,GA-0101
run-060,T03-R09,T03|grok|world_first,0.1388888888888889,60132,scripts/sample_audits.py,world_first,GA-0102
run-158,T08-R03,T08|grok|task_first,0.3125,60132,scripts/sample_audits.py,task_first,GA-0103
run-133,T06-R08,T06|grok|task_first,0.17857142857142858,60132,scripts/sample_audits.py,task_first,GA-0104
run-148,T08-R01,T08|opus5|task_first,0.3125,60132,scripts/sample_audits.py,task_first,GA-0105
run-052,T03-R04,T03|opus5|task_first,0.1388888888888889,60132,scripts/sample_audits.py,task_first,GA-0106
run-143,T06-R02,T06|sol|world_first,0.17857142857142858,60132,scripts/sample_audits.py,world_first,GA-0107
run-059,T03-R03,T03|grok|task_first,0.1388888888888889,60132,scripts/sample_audits.py,task_first,GA-0108
run-153,T08-R02,T08|grok|world_first,0.3125,60132,scripts/sample_audits.py,world_first,GA-0109
run-056,T03-R07,T03|opus5|task_first,0.1388888888888889,60132,scripts/sample_audits.py,task_first,GA-0110
run-054,T03-R04,T03|opus5|world_first,0.1388888888888889,60132,scripts/sample_audits.py,world_first,GA-0111
run-090,T04-R03,T04|sol|task_first,0.08928571428571429,60132,scripts/sample_audits.py,task_first,GA-0112
run-137,T06-R06,T06|sol|task_first,0.17857142857142858,60132,scripts/sample_audits.py,task_first,GA-0113
run-027,T02-R01,T02|opus5|world_first,0.125,60132,scripts/sample_audits.py,world_first,GA-0114
run-121,T06-R03,T06|opus5|world_first,0.17857142857142858,60132,scripts/sample_audits.py,world_first,GA-0115
run-031,T02-R08,T02|opus5|task_first,0.125,60132,scripts/sample_audits.py,task_first,GA-0116
run-174,T07-R04,T07|opus5|world_first,0.3125,60132,scripts/sample_audits.py,world_first,GA-0117
run-090,T04-R08,T04|sol|task_first,0.08928571428571429,60132,scripts/sample_audits.py,task_first,GA-0118
run-026,T02-R10,T02|opus5|world_first,0.125,60132,scripts/sample_audits.py,world_first,GA-0119
run-018,T01-R06,T01|sol|world_first,0.125,60132,scripts/sample_audits.py,world_first,GA-0120
