run_id,criterion_id,condition,stratum,selection_probability,seed,sampling_script,audit_id
run-095,T04-R13,world_first,world_first|unknown,0.18181818181818182,60148,scripts/sample_audits.py,AA-0188
run-103,T05-R01,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0189
run-120,T05-R07,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0190
run-082,T04-R12,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0191
run-032,T02-R01,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0192
run-152,T08-R03,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0193
run-140,T06-R03,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0194
run-149,T08-R01,world_first,world_first|not_accessed,0.20175438596491227,60148,scripts/sample_audits.py,AA-0195
run-090,T04-R04,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0196
run-181,T07-R05,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0197
run-086,T04-R07,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0198
run-068,T03-R01,task_first,task_first|not_accessed,0.19753086419753085,60148,scripts/sample_audits.py,AA-0199
run-034,T02-R03,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0200
run-141,T06-R07,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0201
run-063,T03-R07,world_first,world_first|not_accessed,0.20175438596491227,60148,scripts/sample_audits.py,AA-0202
run-018,T01-R09,world_first,world_first|not_accessed,0.20175438596491227,60148,scripts/sample_audits.py,AA-0203
run-025,T02-R06,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0204
run-102,T05-R11,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0205
run-014,T01-R09,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0206
run-022,T01-R08,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0207
run-058,T03-R09,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0208
run-151,T08-R03,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0209
run-032,T02-R03,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0210
run-103,T05-R05,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0211
run-140,T06-R05,world_first,world_first|not_accessed,0.20175438596491227,60148,scripts/sample_audits.py,AA-0212
run-030,T02-R08,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0213
run-113,T05-R09,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0214
run-061,T03-R07,task_first,task_first|not_accessed,0.19753086419753085,60148,scripts/sample_audits.py,AA-0215
run-080,T04-R01,world_first,world_first|accessed,0.2003257328990228,60148,scripts/sample_audits.py,AA-0216
run-134,T06-R03,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0217
run-176,T07-R05,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0218
run-114,T05-R11,task_first,task_first|accessed,0.20078226857887874,60148,scripts/sample_audits.py,AA-0219
